Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Pizza romana, dybfrost",734,"7,2","5,8",25,,"3,1",0,"60,5",175,
"Pizza, dybfrost, uspec.",786,"8,9","6,1","25,7",,"3,1",0,"57,6",188,
Pop Corn (poppede majskærner),2060,"9,6","24,3",63,0,"8,1",0,2,492,
"Pop corn, microovn",2153,"9,6","26,8",63,0,"8,1",0,2,515,
"Pop corn, traditionelle",1909,"9,6","20,2",63,0,"8,1",0,2,456,
"Porre, rå",158,"1,9","0,4","7,7",0,"2,2",0,"89,3",38,
Portvin,640,"0,1",0,"11,1",11,0,"15,5","71,8",153,
"Poulard, kød og skind, rå",863,19,"14,6",0,0,0,0,66,206,
Pumpernickel,852,"6,8","1,2",46,,10,0,45,204,
"Purløg, rå",109,"2,4","0,6",4,0,"2,4",0,"92,3",26,
"Pære, konserves",300,"0,3","0,2","18,2",10,"2,4",0,"81,2",72,
"Pære, rå",227,"0,3","0,3","14,1",0,"3,2",0,"85,1",54,
"Pølse, cervelatpølse",1134,"11,2","23,6","4,3",0,"0,3",0,56,271,
"Pølse, hot dog",1150,13,"23,5","3,6",0,"0,2",0,57,275,
Pølsebrød,1068,"8,7","3,8",48,0,4,0,"38,9",255,
"Pølser, cocktailpølser",1135,"13,4","23,2",3,0,"0,2",0,"57,1",271,
"Rabarber, dybfrost",108,"0,9","0,3","6,8",0,"3,8",0,"90,5",26,
"Rabarber, rå",108,"0,9","0,3","6,8",0,"3,8",0,"90,5",26,
"Radise, rå",48,"0,8","0,1","2,5",0,"1,3",0,"95,9",11,
Rapsolie,3700,0,100,0,0,0,0,0,884,
Rapsolie (lavt erucasyreindhold),3700,0,100,0,0,0,0,0,884,
Rasp,1488,"10,7","1,5","77,2",0,"6,9",0,10,356,
"Reje, dybfrost",326,"16,8","1,1",0,0,0,0,"80,9",78,
"Reje, kogt",461,24,"1,1","0,7",0,0,0,70,110,
"Reje, konserves",338,"16,5","1,2","0,8",0,0,0,"78,7",81,
"Remoulade, fedtreduceret, uspec.",1157,"0,8","23,5","16,4",10,"0,5",0,"57,1",277,
"Remoulade, uspec.",1643,"1,1","36,8","15,7",12,"0,5",0,"44,3",393,
"Ribs, rå",275,"1,3","1,7","13,4",0,"4,2",0,"83,8",66,
Ribsgele,1010,"0,2","0,1",59,57,0,0,"40,5",241,
"Ribssaft, sur, koncentreret",163,"0,5","0,5",8,0,0,0,"90,8",39,
"Ribssaft, sød, koncentreret",724,"0,5","0,5",41,40,0,0,"57,8",173,
"Ris, brune, rå",1541,9,"2,9","76,6",0,"2,4",0,"10,9",368,
"Ris, parboiled, rå",1526,"7,8","1,2","79,8",0,"0,9",0,"10,9",365,
"Ris, polerede, rå",1524,"8,4","1,2",79,0,"0,7",0,12,364,
"Risengryn, grødris, brune, rå",1536,"6,8","2,8","78,7",,"2,4",0,"10,6",367,
"Risengryn, grødris, polerede, rå",1528,"6,5","1,3","80,8",0,"0,5",0,11,365,
Risklid,1657,"13,4","20,9","49,7",0,21,0,"6,1",396,
Rismel,1527,"7,3","1,3","80,1",0,"0,8",0,"10,8",365,
Risstivelse,1459,"0,8",0,85,0,0,0,"14,2",349,
Roastbeef,504,"21,7","3,5","0,3",,0,0,"70,2",120,
Rom,1151,0,0,0,0,0,"39,7","60,3",275,
"Roquefort, 50+",1450,"20,1","29,5",1,0,0,0,"44,7",347,
"Rosenkål, dybfrost",196,"3,3","0,5","9,5",0,"4,5",0,"85,6",47,
"Rosenkål, efterår (oktober til december), rå",242,"4,8","0,5","10,5",0,"4,1",0,"83,1",58,
"Rosenkål, uspec., rå",221,"4,5","0,5","9,6",0,"4,1",0,"84,2",53,
"Rosenkål, vinter (januar til april), rå",213,"4,4","0,5","9,2",0,"4,1",0,"84,7",51,
Rosévin,297,"0,2",0,"1,4",0,0,"9,3","88,9",71,
Rosin uden kerner,1412,"3,5","1,6",78,0,"3,6",0,"15,2",337,
"Roulade, abrikos-",1363,"3,6","7,3","61,5",,"1,5",0,"26,1",326,
"Roulade, hindbær-",1420,"3,6","9,3","60,5",,"1,5",0,"25,6",339,
"Roulade, uspec.",1424,"3,6","8,9","61,6",22,"1,5",0,"24,6",340,
Rugbrød med fedtrige frø og hele kerner,942,"6,2","5,3",42,0,"8,2",0,44,225,
"Rugbrød, fuldkorn",855,5,"1,2",47,0,"8,1",0,45,204,
"Rugbrød, lyst",905,"6,2","1,3","48,1",0,"7,4",0,43,216,
"Rugbrød, mørkt",873,"5,7","1,3","47,4",0,"8,6",0,"44,8",209,
"Rugbrød, revet, med brunt sukker, uspec.",1473,"6,1",2,"81,4",40,"9,8",0,"7,4",352,
"Rugkerner, hele/knækkede",1417,9,"2,3","77,2",0,"14,8",0,"10,7",339,
"Rugmel, groft, fuldkornsrugmel",1412,"8,8","2,3","77,1",0,"14,8",0,"10,8",337,
"Rugmel, halvsigtet (udmalingsgrad ca. 85 %)",1414,"7,8","1,8",77,,"10,5",0,"11,9",338,
Rugsigtemel (udmalingsgrad ca. 70 %),1459,"6,1","1,4",80,,"6,3",0,"12,6",349,
Rullepølse,1129,"15,3","23,2","0,6",0,0,0,"56,9",270,
"Rullepølse, lammekød",1498,19,"31,7","0,1",0,0,0,"47,1",358,
Rundstykke,1245,"9,7","3,5","58,1",0,"4,1",0,"25,9",298,
"Rundstykke, spansk",1185,"9,4","2,5","56,6",0,"3,3",0,"28,5",283,
"Rygeost, 40+",623,"9,9","10,3","4,3",0,0,0,"75,6",149,
"Rygeost, 5+",302,"12,4","0,5","4,3",0,0,0,"82,6",72,
"Rype, kød, rå",474,"23,5",2,0,0,0,0,73,113,
"Ræddike, rå",81,1,"0,1","3,9",0,"0,7",0,"93,5",19,
"Rødbede, konserves",255,1,"0,3","14,4","3,4",2,0,"83,7",61,
"Rødbede, konserves, uden tilsat sukker",121,"0,9","0,1","7,2",0,"2,3",0,91,29,
"Rødbede, rå",213,"1,7","0,3","11,4",0,"2,3",0,"85,9",51,
"Røde linser, tørrede, rå",1510,"27,3","2,9","58,5",,"6,2",0,"9,1",361,
"Rødfisk, lille, filet, rå",390,"19,7","1,5",0,0,0,0,"76,7",93,
"Rødfisk, rå",363,"19,4","0,9",0,0,0,0,"79,2",87,
"Rødkål, konserves",318,1,"0,2","18,4",16,"2,1",0,"79,3",76,
"Rødkål, konserves, uden tilsat sukker",82,"0,5","0,1","5,5",0,"2,6",0,"92,8",20,
"Rødkål, rå",125,"1,5","0,2","6,5",0,2,0,"91,1",30,
"Rødspætte, filet, paneret, dybfrost",576,"11,9","1,1","20,1",0,1,0,"65,7",138,
"Rødspætte, filet, paneret, friturestegt",1057,"15,2","13,2","18,8",0,1,0,"51,3",253,
"Rødspætte, rå",365,"18,2","1,5",0,0,0,0,"79,3",87,
"Rødtunge, rå",343,"17,1","1,4",0,0,0,0,"80,2",82,
"Rødvin, rosévin, uden alkohol",63,"0,2",0,"3,5",,0,0,96,15,
"Rødvin, uspec.",304,"0,2",0,"1,5",0,0,"9,5","87,5",73,
Røget svinefilet,472,"19,4","3,7","0,3",0,0,0,"71,2",113,
Saccharin,15,"0,9",0,0,0,0,0,"8,8",4,
Safflowerolie (højt linolsyreindhold),3700,0,100,0,0,0,0,0,884,
Safflowerolie (højt oliesyreindhold),3700,0,100,0,0,0,0,0,884,
Sagogryn (kartoffelstivelse),1505,"0,2","0,3","88,1",0,"0,8",0,"11,2",360,
Salami,2107,"13,9",49,"3,4",0,0,0,"28,7",504,
"Salat, egeløv, rå",67,"1,4","0,2","2,8",0,"1,3",0,"95,1",16,
"Salat, endivie, bredbladet (escarole), rå",59,"1,3","0,2","3,4",0,"3,1",0,"93,8",14,
"Salat, endivie, kruset (frisee), rå",78,"1,3","0,2","3,3",0,"0,9",0,"93,8",19,
"Salat, hovedsalat, rå",93,"1,3","0,4",4,0,"1,3",0,"95,2",22,
"Salat, Iceberg, rå",65,1,"0,1","3,2",0,"1,1",0,"95,7",16,
"Salat, Radicchio rosso, rå",103,"1,4","0,3","4,5",0,"0,9",0,"93,1",25,
"Salat, Romaine, romersk, rå",69,"1,2","0,3","3,3",0,"2,1",0,"94,6",16,
Salt kød,423,"18,5","2,6","0,7",0,0,0,"73,1",101,
"Salt, bordsalt",0,0,0,0,0,0,0,"0,5",0,
"Salt, havsalt (ikke jodberiget)",0,0,0,0,0,0,0,4,0,
"Salt, stensalt, køkkensalt",0,0,0,0,0,0,0,"0,2",0,
"Samsø, 30+",1167,"30,1","17,2","1,1",0,0,0,"48,4",279,
"Samsø, 45+",1507,27,"27,9","0,9",0,0,0,"41,2",360,
"Sandart, rå",361,"19,2","0,7","0,5",0,0,0,78,86,
"Sardin, i olie, konserves",844,"24,6","11,5",0,0,0,0,"59,6",202,
"Sardin, i tomat, konserves",723,"16,4",12,0,0,0,0,"68,3",173,
"Sauce, barbeque",624,0,"0,3","36,3",10,"0,5",0,"60,3",149,
"Sauce, gravad laks",2313,"1,6",56,"12,6","10,3",0,0,28,553,
"Sauce, shaslik",384,1,0,22,19,"0,8",0,77,92,
"Savoykål, rå",113,2,"0,1","6,1",0,"3,1",0,91,27,
"Sej, filet, dybfrost",382,"20,5","0,9",0,0,0,0,77,91,
"Sej, filet, rå",339,"19,3","0,3",0,0,0,0,"79,5",81,
"Selleri, blade, rå",146,"1,8","0,3","8,2",0,"3,9",0,"88,7",35,
"Selleri, rod, rå",146,"1,8","0,3","8,2",0,"3,9",0,"88,7",35,
"Sennep, brun, færdiglavet",511,5,"3,1",20,5,"3,2",0,"67,6",122,
"Sennep, gul, færdiglavet",692,"5,7","6,4",22,"14,5","1,7",0,63,165,
"Sesamfrø, afskallede",2502,"21,9",51,"20,7",0,"12,1",0,"3,4",598,
"Sesamfrø, hele, tørrede",2377,"17,7","49,7","23,5",0,18,0,"3,8",568,
Sesamolie,3700,0,100,0,0,0,0,0,884,
"Sherry, medium",489,"0,1",0,"3,4",0,0,"14,8","80,5",117,
"Sherry, sød",565,"0,3",0,"6,5",0,0,"15,5",75,135,
"Sherry, tør",487,"0,2",0,"1,3",0,0,"15,9","80,8",116,
Sigtebrød,1054,"7,2","3,2","49,9",0,"3,9",0,"37,7",252,
Sigtemel,1486,"9,6",2,"75,8",0,"4,4",0,"11,7",355,
"Sild, høstsild, fedsild, rå",1031,"19,3",19,0,0,0,0,"60,3",246,
"Sild, marineret",1151,"11,9",17,"18,8",18,0,0,"49,3",275,
"Sild, marineret, i karrysauce",1181,"7,6","22,4","13,1",12,0,0,"54,3",282,
"Sild, marineret, i madeirasauce",966,14,16,8,8,0,0,58,231,
"Sild, marineret, kryddersild",955,"12,4","15,2","10,7",,0,0,"55,7",228,
"Sild, paneret, stegt, i lage",946,12,10,22,14,"0,2",0,,226,
"Sild, røget",805,"20,6","12,3",0,0,0,0,66,192,
"Sild, rå",844,"18,1","14,5",0,0,0,0,"67,3",202,
Sildepostej,1417,"11,1","33,1","0,2",,0,0,"52,6",339,
Sirup,1309,"0,3",0,"76,7",0,0,0,22,313,
"Skinke med skank, rå",1103,17,22,0,0,0,0,"60,8",264,
"Skinke, hoftestykke, helt afpudset, råt",426,"20,7",2,0,0,0,0,"60,8",102,
"Skinke, inderlår, helt afpudset, rå",445,"21,6","2,1",0,0,0,0,"75,2",106,
"Skinke, kogt, konserves",467,"15,7","5,4",0,0,0,0,"74,7",112,
"Skinke, kogt, skiveskåret",456,"17,9",4,"0,2",,0,0,"73,5",109,
"Skinke, røget",964,"28,4",13,0,0,0,0,"52,6",230,
"Skinke, røget, kogt",829,"18,3",14,0,0,0,0,"65,1",198,
"Skinke, yderlår, helt afpudset, råt",493,"20,5","3,9",0,0,0,0,"74,8",118,
"Skinkeculotte (yderlår), ca. 5 mm spæk, råt",837,"19,2","13,8",0,0,0,0,"66,1",200,
"Skinkemignon, lårtunge, helt afpudset, rå",494,"19,9","4,2",0,0,0,0,"75,3",118,
"Skinkemignon, rå",494,"19,9","4,2",0,0,0,0,"75,3",118,
"Skinkeschnitzel, inderlår, rå",445,"21,6","2,1",0,0,0,0,"75,2",106,
"Skinkesteg uden svær, helt afpudset, rå",475,"20,3","3,5",0,0,0,0,"75,4",114,
"Skorzonnerrod, rå",350,"3,3","0,2","18,6",0,"3,3",0,77,84,
"Skrubbe, rå",367,"18,1","1,6",0,0,0,0,"79,3",88,
Skummetmælk,150,"3,5","0,3","4,7",0,0,0,"90,8",36,
Skummetmælk 0.5 % fedt (Minimælk),158,"3,5","0,5","4,7",0,0,0,"90,6",38,
"Skummetmælk, økologisk",150,"3,5","0,3","4,7",0,0,0,"90,8",36,
Skummetmælkspulver,1529,"36,2","0,8",52,0,0,0,"3,2",365,
"Skærekage, chokoladekage/-pie",1802,"5,3","23,5","50,1",,1,0,"19,4",431,
"Skærekage, citronkage",1792,"4,6","21,3",55,,1,0,"17,9",428,
"Skærekage, formkage, uspec.",1800,"4,9","22,3",53,,1,0,"18,3",430,
"Skærekage, mazarinkage",2050,"5,2","31,2",48,,1,0,"14,2",490,
"Skærekage, sandkage",1854,"6,1",25,"49,1",,1,0,"18,1",443,
"Smelteost, 20+",950,"28,4","12,4","0,5",0,0,0,"54,4",227,
"Smelteost, 30+",1070,"26,4","16,5","0,6",0,0,0,"53,7",256,
"Smelteost, 45+",1328,"24,2","24,5","0,6",0,0,0,"46,6",317,
"Smør, saltet",3030,"0,5","81,4","0,6",0,0,0,"15,6",724,
"Smør, usaltet",3071,"0,5","82,5","0,6",0,0,0,"16,7",734,
"Smørbart blandingsprodukt, 80% fedt",3003,"0,4","80,8","0,4",0,0,0,"17,1",718,
"Småkage, finsk brød",2224,"5,6","31,2","58,9",,3,0,3,532,
"Småkage, uspec.",2107,"5,3","26,1","63,4",,3,0,"4,5",504,
"Småkage, vanillekranse",2191,"4,7","28,8","63,1",,3,0,"2,1",524,
"Snacks, ekspanderet, kartoffelbasis",2051,"4,6","25,1",63,,3,0,3,490,
"Snacks, ekspanderet, majsbasis",2098,"7,4","25,7",62,,"3,6",0,2,501,
"Snacks, ekstruderet, majsbasis",2246,9,"32,1",54,,"1,4",0,2,537,
"Snaps, 40 % vol., uspec.",974,0,0,"0,5",0,0,"33,3","66,2",233,
"Snaps, krydder-, uspec.",936,0,0,"0,5",0,0,32,"67,5",224,
Softrugbrød (uden fedtrige frø),885,"4,9","1,4",48,0,"7,3",0,44,212,
Softrugbrød med fedtrige frø og hele kerner,1004,"6,9","6,5",42,0,"7,5",0,43,240,
Soja sauce,239,"6,3",0,"8,2",,"0,8",0,"70,8",57,
"Sojabønner, tørrede",1718,"35,8","18,4",34,0,"16,6",0,7,411,
"Sojadrik, kommercielt tilberedt",182,"3,1","2,4","2,5","2,2","0,2",0,89,43,
Sojamel,1879,"37,2","22,2","30,5",0,"10,4",0,"5,1",449,
Sojaolie,3700,0,100,0,0,0,0,0,884,
"Solbær, rå",319,"1,5","1,3","17,5",0,"5,8",0,79,76,
"Solbær, syltede",849,"0,6","0,4",49,44,1,0,"49,8",203,
Solbærmarmelade,858,"0,5","0,4","49,6",45,1,0,47,205,
"Solbærsaft, sur, koncentreret",214,"0,5","0,5",11,0,0,0,"87,8",51,
"Solbærsaft, sød, koncentreret",843,"0,5","0,5",48,46,0,0,"50,8",201,
Solsikkebrød,1131,9,"5,1","49,1",0,5,0,"34,9",270,
"Solsikkefrø, afskallede, tørrede",2691,"19,9","56,4","17,1",0,"2,7",0,"3,7",643,
Solsikkeolie,3700,0,100,0,0,0,0,0,884,
Sorbitol,1700,0,0,100,0,0,0,,406,
"Sortmund, blåhvilling, filet, rå",337,"18,1","0,8",0,0,0,0,"80,5",81,
Spegepølse,1905,"16,3",44,0,0,0,0,"34,6",455,
"Spegepølse, oksekød",1681,"20,1","36,2",0,0,0,0,"36,6",402,
Spegesild,1062,"11,3","23,5",0,0,0,0,"52,4",254,
"Sperling, kød, rå",352,"18,5",1,0,0,0,0,80,84,
"Spidskål, rå",113,"2,1","0,3","4,9",0,"1,9",0,"91,9",27,
"Spinat, hakket, dybfrost",86,"2,1","0,5","2,9",0,2,0,"92,9",21,
"Spinat, rå",107,"2,6","0,6","3,4",0,"1,9",0,"91,7",26,
"Spirituosa, gennemsnitlige værdier",963,0,0,"0,5",0,0,"32,9","66,6",230,
"Sprængt nakke, svinekød",1095,"19,5","20,6","0,1",,0,0,"57,3",262,
"Spædbørnsmad, modermælkserstatning, højt jernindhold, pulver",2114,"11,3","25,9","56,7",,0,0,"4,2",505,
"Squash, alle typer, rå",67,"1,4","0,2","2,7",0,"1,1",0,"94,9",16,
"Squash, zucchini, rå",67,"1,2","0,2","2,9",0,"1,1",0,"94,6",16,
"St. Paulin, 50+",1540,"23,5","30,4","0,9",0,0,0,"42,1",368,
"Stenbider, røget",1577,"17,7","34,5",0,0,0,0,"40,5",377,
"Stenbider, rå",692,"9,8","14,2",0,0,0,0,"74,6",165,
"Stikkelsbær, rå",180,"0,9","0,6","10,1",0,"3,2",0,"87,9",43,
"Sukker, brun farin",1624,0,0,"95,5",94,0,0,"2,5",388,
"Sukker, demerara",1697,"0,5",0,"99,3","99,3",0,0,0,406,
"Sukker, stødt melis (saccharose)",1698,0,0,"99,9","99,9",0,0,"0,1",406,
"Sukkerært (mangetout), rå",183,"3,4","0,4","7,8",,"2,5",0,"87,7",44,
Surbrød,1051,7,"3,2","49,9",0,"3,9",0,"37,7",251,
"Svenbo, 45+",1565,"27,6","29,2","0,9",0,0,0,"39,1",374,
"Sveske, rå",1080,"2,7","0,7","63,3",0,"7,6",0,"31,2",258,
"Svinebov med svær, rå",797,"18,8","12,9",0,0,0,0,"67,9",190,
"Svinebov til fars, ca. 16 % fedt, rå",898,18,16,0,0,0,0,"66,1",215,
"Svinebov, helt afpudset, rå",540,"20,2","5,3",0,0,0,0,74,129,
"Svinebryst, kogestykke med svær, rå",1054,"17,6","20,4",0,0,0,0,"61,5",252,
"Svinebryst, kogestykke uden svær, ca. 2 mm spæk, rå",952,"17,7","17,6",0,0,0,0,"64,2",228,
"Svinebryst, kogestykke, helt, saltet",1550,15,35,0,0,0,0,"44,5",370,
"Svinebryst, slag, rullesteg, råt",905,"18,2","16,1",0,0,0,0,"65,2",216,
"Svinebryst, stegestykke med svær, rå",1382,16,30,0,0,0,0,"53,6",330,
"Svinebryst, stegestykke, helt, saltet",1094,"15,9","21,9","0,8",0,0,0,"58,4",261,
"Svinebryst, stegestykke, uden svær, ca. 2 mm spæk, rå",1260,"15,8","26,8",0,0,0,0,57,301,
"Svinefedt, afsmeltet",3663,0,99,0,0,0,0,1,875,
"Svinefedt, afsmeltet, Raffinol",3663,0,99,0,0,0,0,1,875,
"Svinefilet, helt afpudset, rå",448,"22,2","1,9",0,0,0,0,"74,7",107,
"Svinekam med svær, rå",1005,"19,3","18,3",0,0,0,0,"62,6",240,
"Svinekam uden svær, ca. 3 mm spæk, rå",791,20,"12,2",0,0,0,0,"67,1",189,
"Svinekam uden svær, rå",791,20,"12,2",0,0,0,0,"67,1",189,
"Svinekotelet, fadkotelet, rå",733,"20,7","10,3",0,0,0,0,"68,5",175,
"Svinekød , mellemkam med svær, rå",1005,"19,3","18,3",0,0,0,0,"62,6",240,
"Svinekød, bagskank uden svær, rå",609,"19,5","7,5",0,0,0,0,"72,6",146,
"Svinekød, bov i tern, rå",540,"20,2","5,3",0,0,0,0,74,129,
"Svinekød, bovsteaks, rå",775,"19,9","11,8",0,0,0,0,"67,6",185,
"Svinekød, filet royal af svinefilet, rå",420,"22,3","1,1",0,0,0,0,"75,7",100,
"Svinekød, flæskesteg af nakkekam med svær, rå",1113,"16,5","22,5",0,0,0,0,"60,6",266,
"Svinekød, flæskesteg af svinekam med svær, rå",1005,"19,3","18,3",0,0,0,0,"62,6",240,
"Svinekød, hakket, ca.  6% fedt, råt",594,"21,2","6,3",0,0,0,0,"71,7",142,
"Svinekød, hakket, højt fedtindhold, råt",948,"18,3","17,2",0,0,0,0,"64,7",227,
"Svinekød, hakket, lavt fedtindhold, råt",724,"19,5","10,6",0,0,0,0,"69,6",173,
"Svinekød, halssnitte, rå",2074,11,51,0,0,0,0,"36,3",496,
"Svinekød, kæbeklump, rå",550,"21,5",5,0,0,0,0,"72,7",131,
"Svinekød, medaillon af svinefilet, rå",427,"22,3","1,3",0,0,0,0,"75,5",102,
"Svinekød, mørbrad royal, rå",431,"22,3","1,4",0,0,0,0,"75,4",103,
"Svinekød, mørbradstykke, helt afpudset, råt",498,"21,7","3,5",0,0,0,0,"74,2",119,
"Svinekød, nakkefilet, helt afpudset (Nakkekotelet), rå",757,18,"12,2",0,0,0,0,"69,6",181,
"Svinekød, nakkekam med svær, rå",1113,"16,5","22,5",0,0,0,0,"60,6",266,
"Svinekød, nakkekotelet, rå",758,20,"11,3",0,0,0,0,68,181,
"Svinekød, revelsben, rå",1371,"14,7","30,3",0,0,0,0,"54,5",328,
"Svinekød, ribbensteg, rå",1129,"16,8","22,8",0,0,0,0,"59,9",270,
"Svinekød, ribsteaks, rå",952,"17,7","17,6",0,0,0,0,"64,2",228,
"Svinekød, rullesteg af slag, rå",905,"18,2","16,1",0,0,0,0,"65,2",216,
"Svinekød, sautéskiver af svinefilet, rå",418,"22,4",1,0,0,0,0,"75,7",100,
"Svinekød, skinkemuskler -skank, helt afpudsede, rå",426,"20,7",2,0,0,0,0,"60,8",102,
"Svinekød, skinkestrimler af yderlår, rå",493,"20,5","3,9",0,0,0,0,"74,8",118,
"Svinekød, skinketern af yderlår, rå",493,"20,5","3,9",0,0,0,0,"74,8",118,
"Svinekød, spareribs, rå",1166,"17,2","23,6",0,0,0,0,"58,7",279,
"Svinekød, uspec., ca. 10 % fedt, råt",784,20,12,0,0,0,0,"68,3",187,
"Svinekød, uspec., ca. 20 % fedt, råt",1013,18,"19,1",0,0,0,0,"62,2",242,
"Svinekød, uspec., fedt, råt",1439,15,32,0,0,0,0,"52,8",344,
"Svinekød, uspec., magert, råt",485,22,3,0,0,0,0,"73,9",116,
"Svinekød, vikingsteaks, rå",779,"19,9","11,9",0,0,0,0,"67,5",186,
"Svinekød, wokstrimler af skinkeinderlår, rå",448,"22,2","1,9",0,0,0,0,75,107,
"Svinemørbrad, afpudset, rå",499,"21,1","3,8",0,0,0,0,"74,3",119,
"Svinespæk, rygspæk",2749,5,72,0,0,0,0,"8,8",657,
Sylte,898,13,"18,2","0,2",0,0,0,"66,6",215,
"Syltetøj, uspec.",1135,"0,6",0,"66,7","65,7",1,0,"29,8",271,
"Syre (krydderplante), rå",88,2,"0,7","3,2",0,"2,9",0,93,21,
"Sælkød, råt",494,"23,4","2,6",0,,0,0,"73,6",118,
Sødmælk (UHT),262,"3,4","3,5","4,4",0,0,0,"87,8",63,
"Sødmælk, konventionel (ikke-økologisk)",269,"3,4","3,5","4,8",0,0,0,"87,8",64,
"Sødmælk, økologisk",269,"3,4","3,5","4,8",0,0,0,"87,8",64,
Sødmælkspulver,2095,"27,7","26,8","37,2",0,0,0,"2,4",501,
"Søtunge, rå",359,"18,7","1,1",0,0,0,0,"78,4",86,
"Tamarind, rå",1086,"2,8","0,6","62,5",0,"5,1",0,"31,4",260,
"Tang, agar",1280,"2,3","0,3",75,0,5,0,"19,9",306,
"Tang, konbu, tørret (kelp)",1044,"7,9","0,6",55,0,"5,3",0,"12,3",250,
"Te, blade",961,"19,6",2,"62,1",,"55,8",0,"9,3",230,
"Te, drikkeklar",2,"0,1",0,0,0,0,0,"99,9",0,
Tebirkes,1739,"7,7","23,5","45,2",,"3,3",0,"22,4",416,
Tidselolie,3700,0,100,0,0,0,0,0,884,
"Tofu, sojabønneost",320,"7,8","4,2","2,4",0,1,0,85,76,
"Tomat, dansk, rå",84,"0,7","0,3","4,6",0,"1,9",0,94,20,
"Tomat, flået, konserves",90,"1,2","0,3","3,9",0,"0,9",0,94,22,
"Tomat, importeret, rå",137,"1,1","0,4","7,2",0,"2,1",0,"90,6",33,
"Tomat, tørret",1189,"14,1",3,"55,8",,"12,3",0,"14,6",284,
"Tomat, uspec., rå",107,"0,7","0,3","5,7",0,"1,4",0,"94,3",26,
"Tomatjuice, konserves",85,"0,8","0,1","4,3",0,"0,6",0,"93,9",20,
Tomatketchup,479,3,"2,4","21,7","7,6","3,3",0,"71,5",114,
"Tomatketchup, stærk",435,2,0,24,21,"0,8",0,70,104,
Tomatpure,409,"4,4","0,9","19,6",0,"3,6",0,"72,3",98,
"Tomatpure, koncentreret",371,"4,3","0,5","18,6",0,"4,1",0,"73,5",89,
"Tomatsuppe, spiseklar",304,"1,6","1,5","13,2",,"0,4",0,"81,3",73,
"Torsk, filet, kogt",340,"18,7","0,6",0,0,0,0,"80,6",81,
"Torsk, filet, paneret, rå",486,"15,7","0,8","11,4",0,"0,5",0,"70,8",116,
"Torsk, filet, røget, med skind",334,19,"0,3",0,0,0,0,"79,4",80,
"Torsk, filet, rå",340,"18,7","0,6",0,0,0,0,"80,6",81,
"Torsk, filet, stegt",503,"18,7",5,0,0,0,0,75,120,
"Torsk, lever, konserves",2134,"4,6","55,1",1,0,0,0,"35,7",510,
"Torsk, lever, røget",2568,"5,1","66,6",1,0,0,0,"26,8",614,
"Torsk, lever, rå",2568,"5,1","66,6",1,0,0,0,"26,8",614,
"Torsk, levertran",3700,0,100,0,0,0,0,0,884,
"Torsk, rogn, konserves",417,"13,7","3,7","2,8",0,0,0,"77,8",100,
"Torsk, rogn, røget",613,"26,8","4,2","0,1",,0,0,67,147,
"Torsk, rogn, rå",503,"21,8","2,9","1,5",0,0,0,"73,1",120,
"Tranebær, rå",176,"0,4","0,1","12,2",0,"4,6",0,"87,1",42,
Trekornsbrød,1081,"8,2","4,4","49,2",0,"6,4",0,"35,8",258,
"Tun i olie, konserves",808,"24,9","10,4",0,0,0,0,"62,4",193,
"Tun i tomat, konserves",560,"17,2",7,"0,5",0,0,0,"74,1",134,
"Tun i vand, konserves",467,"25,3",1,0,0,0,0,"73,2",112,
"Tun, rå",508,"27,5","1,1",0,0,0,0,"70,8",121,
"Tunge, kalv, rå",754,"16,9","12,2","0,9",0,0,0,"69,2",180,
"Tunge, kalv, saltet",732,"16,9","11,6","0,9",0,0,0,"69,6",175,
"Tunge, okse, rå",741,"16,2","12,4","0,4",0,0,0,"70,2",177,
"Tunge, svin, rå",668,17,10,"0,5",0,0,0,"71,6",160,
"Tunge, svin, saltet",668,17,10,"0,5",0,0,0,"71,5",160,
Tvebakker,1594,"9,3","5,8","73,5",0,"3,1",0,"7,8",381,
"Tyggegummi, med sukker, uspec.",1525,"0,4",0,"90,6",68,"2,4",0,"3,4",364,
"Tyggegummi, uden sukker, uspec.",1452,"0,6",0,"86,1",1,"2,4",0,"3,6",347,
Tykmælk,269,"3,5","3,6","4,5",0,0,0,"87,6",64,
"Tyttebær, rå",220,"0,8","1,2","11,5",0,"3,7",0,"86,3",53,
"Tyttebær, syltede",651,"0,2","0,2",39,26,"2,5",0,60,156,
"Tørkage, kokosmakroner",1989,"6,3","28,2","49,3",,0,0,"15,4",475,
"Tørkage, kransekage",2022,"9,2",25,"58,9",,"6,8",0,"6,1",483,
"Tørkage, linse",1836,"6,1","24,5","49,1",20,1,0,"18,1",439,
"Tørkage, mazariner",1979,"5,7","27,9","51,6",22,3,0,"13,4",473,
"Tørkage, napoleonshatte",1976,"6,4","24,1",59,,3,0,"9,3",472,
"Tørkage, uspec.",1933,"5,1","27,3","52,8",20,"6,8",0,"13,5",462,
Valle,117,"0,9","0,4","5,1",,0,0,"93,1",28,
"Vallepulver, tørret",1526,"12,9","1,1","74,5",,0,0,"3,2",365,
Valnød,2847,"14,3","64,3","16,2",0,"5,6",0,"2,8",680,
Valnøddebrød,1117,"8,1","4,5","50,3",0,"4,7",0,"34,5",267,
