Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
Danablu 50+,1447,"20,2","29,5","0,7",0,0,0,"44,7",346,
Danablu 60+,1633,"16,5","36,1",1,0,0,0,"41,9",390,
"Danbo, 20+",950,"28,4","12,4","0,5",0,0,0,"54,4",227,
"Danbo, 30+",1081,"28,4","15,7",1,0,0,0,"50,6",258,
"Danbo, 45+",1342,"23,7",25,"0,8",0,0,0,"45,6",321,
"Dild, rå",200,"3,5","1,1",7,0,"2,1",0,86,48,
"Dild, tørret",1344,20,"4,4","55,8",0,"11,9",0,"7,3",321,
"Dragé, lakrids",1586,2,"1,7","87,6",,0,0,6,379,
"Dragéprodukt, uspec.",1978,5,"17,2","73,9",,0,0,"2,5",473,
"Dressing, blue cheese",2142,"4,8","52,3","7,4",,0,0,"32,3",512,
"Dressing, creme fraiche",1733,"1,6","41,7","9,6",,0,0,"45,1",414,
"Dressing, creme fraiche, kalorielet",883,"1,3","18,9","9,5",,0,0,"68,7",211,
"Dressing, fransk",1936,"0,8","44,8","15,6",5,0,0,"36,6",463,
"Dressing, italiensk",1234,"0,4","28,4","10,4",,0,0,"56,4",295,
"Dressing, mayonnaise",1439,"1,2","32,5","12,7",,0,0,"51,7",344,
"Dressing, mayonnaise, kalorielet",742,1,"13,4","13,5",,0,0,"70,1",177,
"Dressing, olie-eddike",1446,"0,6","34,3","9,8",,0,0,"52,4",346,
"Dressing, olie-eddike, kalorielet",197,"0,3","1,1","8,9",,0,0,"86,6",47,
"Dressing, thousand island",1548,"1,1","35,1","14,6",,2,0,"46,5",370,
"Drueagurk (sylteagurk), rå",70,"1,2","0,1","3,4",,"1,3",0,"94,6",17,
Druesaft,268,"0,6","0,1",15,0,"0,1",0,"84,1",64,
"Due, kød og skind, rå",1195,"18,5","23,8",0,0,0,0,"56,6",286,
"Due, kød, rå",619,"20,1","7,5",0,0,0,0,"72,8",148,
Eddike,82,"0,4",0,"0,6",0,0,"0,2","98,7",20,
"Elbo, 40+",1342,"26,6","23,4","1,4",0,0,0,"45,7",321,
